产品代码,产品名称,风险等级,产品状态,销售状态
5811225613,交银理财稳享灵动慧利日开38号（14天持有期）理财产品,中低风险,存续期内,在售
5811224065,交银理财稳享灵动慧利日开4号（7天持有期）理财产品,中低风险,存续期内,在售
5811224092,交银理财稳享灵动慧利日开5号（14天持有期）理财产品,中低风险,存续期内,在售
5811224222,交银理财稳享灵动慧利日开7号（14天持有期）理财产品,中低风险,存续期内,在售
5811224205,交银理财稳享灵动慧利日开7号（60天持有期）理财产品D,中低风险,存续期内,在售
5811224037,交银理财稳享灵动慧利日开7号（90天持有期）理财产品,中低风险,存续期内,在售
5811225255,交银理财稳享灵动慧利日开7号（99天持有期）理财产品,中低风险,存续期内,在售
5811224162,交银理财稳享灵动慧利日开8号（14天持有期）理财产品C,中低风险,存续期内,在售
5811224059,交银理财稳享灵动慧利日开8号（30天持有期）理财产品,中低风险,存续期内,在售
5811224136,交银理财稳享灵动慧利日开8号（7天持有期）理财产品,中低风险,存续期内,在售
5811224035,交银理财稳享灵动慧利日开8号（90天持有期）理财产品,中低风险,存续期内,在售
5811224145,交银理财稳享灵动慧利日开9号（7天持有期）理财产品C,中低风险,存续期内,在售
5811225399,交银理财稳享灵动慧利日日开16号理财产品,中低风险,存续期内,在售
5811225053,交银理财稳享灵动慧利日日开2号理财产品,中低风险,存续期内,在售
5811225068,交银理财稳享灵动慧利日日开3号理财产品,中低风险,存续期内,在售
5811225166,交银理财稳享灵动慧利日日开4号理财产品,中低风险,存续期内,在售
5811225168,交银理财稳享灵动慧利日日开5号理财产品,中低风险,存续期内,在售
5811225568,交银理财稳享灵动慧利日日开7号理财产品,中低风险,存续期内,在售
5811224120,交银理财稳享灵动慧利日日开理财产品,中低风险,存续期内,在售
AF245406M,信银理财安盈象固收稳健一个月持有期20号理财产品,中低风险,存续期内,在售
AF213019B,信银理财安盈象固收稳健一个月持有期2号理财产品,中低风险,存续期内,在售
AF233324G,信银理财安盈象固收稳健七天持有期16号理财产品,中低风险,存续期内,在售
AF213004G,信银理财安盈象固收稳健七天持有期1号理财产品,中低风险,存续期内,在售
AF245382M,信银理财安盈象固收稳健七天持有期23号理财产品,中低风险,存续期内,在售
AF245385G,信银理财安盈象固收稳健七天持有期26号理财产品,中低风险,存续期内,在售
AF245389G,信银理财安盈象固收稳健七天持有期30号理财产品,中低风险,存续期内,在售
AF245306G,信银理财安盈象固收稳健三个月持有期15号理财产品,中低风险,存续期内,在售
AF245683G,信银理财安盈象固收稳健三个月持有期17号理财产品,中低风险,存续期内,在售
AF213046H,信银理财安盈象固收稳健三个月持有期2号理财产品,中低风险,存续期内,在售
AF213046B,信银理财安盈象固收稳健三个月持有期2号理财产品,中低风险,存续期内,在售
AF222478B,信银理财安盈象固收稳健两个月持有期1号理财产品,中低风险,存续期内,在售
AF223065B,信银理财安盈象固收稳健十四天持有期1号理财产品,中低风险,存续期内,在售
AF233296G,信银理财安盈象固收稳健十四天持有期7号理财产品,中低风险,存续期内,在售
AF258630G,信银理财安盈象固收稳健日开56号理财产品,中低风险,存续期内,在售
AF233287H,信银理财安盈象固收稳健日开9号理财产品,中低风险,存续期内,在售
AF246905G,信银理财安盈象固收稳健青绿共绘ESG一个月持有期2号理财产品,中低风险,存续期内,在售
AF246726G,信银理财安盈象固收稳健青绿共绘ESG三个月持有期1号理财产品,中低风险,存续期内,在售
AF259457G,信银理财安盈象固收稳利一个月持有期158号理财产品,中低风险,存续期内,在售
BF245103B,信银理财安盈象固收稳利一个月持有期1号私募理财产品,中低风险,存续期内,在售
AF245314G,信银理财安盈象固收稳利一个月持有期23号理财产品,中低风险,存续期内,在售
BF245104B,信银理财安盈象固收稳利一个月持有期2号私募理财产品,中低风险,存续期内,在售
AF246492G,信银理财安盈象固收稳利一个月持有期36号理财产品,中低风险,存续期内,在售
AF247063G,信银理财安盈象固收稳利一个月持有期45号理财产品,中低风险,存续期内,在售
AF247492G,信银理财安盈象固收稳利一个月持有期58号理财产品,中低风险,存续期内,在售
